bee	group	cage	cage2	alive	experiment
bee138	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	1	four
bee139	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	four
bee140	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	four
bee141	added_Chlorothalonil	cage2	added_Chlorothalonil_cage2	0	four
bee142	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee143	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee144	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee140	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee141	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee142	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee143	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee144	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee145	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee146	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee147	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee148	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee149	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee150	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	1	four
bee151	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	four
bee152	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	four
bee153	added_Chlorothalonil	cage3	added_Chlorothalonil_cage3	0	four
bee154	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee155	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee156	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee157	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee158	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee159	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee160	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee161	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee162	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee163	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee164	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee165	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee166	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee167	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee168	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	1	four
bee169	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
bee170	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
bee171	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
bee172	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
bee173	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
bee174	added_Chlorothalonil	cage4	added_Chlorothalonil_cage4	0	four
